12:43:21:960 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:960 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:961 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:962 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:963 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:964 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:965 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:21:966 ->  PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
