14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:119 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:120 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:121 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:122 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:123 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
14:35:08:124 -> , S1=45.05 mA, S2=41.50 mA, S3=50.28 mA, S4=54.10 mA
