14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
14:34:46:445 ->  S1=5.38 mA, S2=4.88 mA, S3=5.30 mA, S4=5.30 mA
